CIS,Nom,Nom_Substance
68739019,"ABRAXANE 5 mg/mL, poudre pour dispersion injectable pour perfusion",PACLITAXEL
62082709,"ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABROTANUM POUR PRÉPARATIONS HOMÉOPATHIQUES
67871676,"ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABROTANUM POUR PRÉPARATIONS HOMÉOPATHIQUES
60990140,"ABRYSVO, poudre et solvant pour solution injectable. Vaccin du virus respiratoire syncytial (bivalent, recombinant)",ANTIGÈNE F DU VRS DU SOUS-GROUPE A STABILISÉ EN FORME PRÉFUSION 
60990140,"ABRYSVO, poudre et solvant pour solution injectable. Vaccin du virus respiratoire syncytial (bivalent, recombinant)",ANTIGÈNE F DU VRS DU SOUS-GROUPE B STABILISÉ EN FORME PRÉFUSION 
64457435,"ABSINTHIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABSINTHIUM POUR PRÉPARATIONS HOMÉOPATHIQUES
60612094,"ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABSINTHIUM POUR PRÉPARATIONS HOMÉOPATHIQUES
68336954,"ABSTRAL 100 microgrammes, comprimé sublingual",CITRATE DE FENTANYL
67144513,"ABSTRAL 200 microgrammes, comprimé sublingual",CITRATE DE FENTANYL
61464150,"ABSTRAL 300 microgrammes, comprimé sublingual",CITRATE DE FENTANYL
60282999,"ABSTRAL 400 microgrammes, comprimé sublingual",CITRATE DE FENTANYL
63451714,"ABSTRAL 600 microgrammes, comprimé sublingual",CITRATE DE FENTANYL
61578296,"ABSTRAL 800 microgrammes, comprimé sublingual",CITRATE DE FENTANYL
64728712,"ABUFENE 400 mg, comprimé",ALANINE
62963238,"ACALYPHA INDICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACALYPHA INDICA POUR PRÉPARATIONS HOMÉOPATHIQUES
69724187,"ACAMPROSATE BIOGARAN 333 mg, comprimé pelliculé gastro-résistant",ACAMPROSATE CALCIQUE
60929194,"ACAMPROSATE VIATRIS 333 mg, comprimé enrobé gastro-résistant",ACAMPROSATE CALCIQUE
61621192,"ACARBOSE ARROW 100 mg, comprimé sécable",ACARBOSE
69664434,"ACARBOSE ARROW 50 mg, comprimé",ACARBOSE
64127672,"ACARBOSE BIOGARAN 100 mg, comprimé sécable",ACARBOSE
69116854,"ACARBOSE BIOGARAN 50 mg, comprimé",ACARBOSE
65803331,"ACARBOSE EG 100 mg, comprimé",ACARBOSE
61937888,"ACARBOSE EG 50 mg, comprimé",ACARBOSE
67093136,"ACARBOSE SANDOZ 100 mg, comprimé",ACARBOSE
69771614,"ACARBOSE SANDOZ 50 mg, comprimé",ACARBOSE
60946941,"ACARBOSE VIATRIS 100 mg, comprimé sécable",ACARBOSE
60989978,"ACARBOSE VIATRIS 50 mg, comprimé",ACARBOSE
67901945,"ACARBOSE ZENTIVA 100 mg, comprimé sécable",ACARBOSE
64493666,"ACARBOSE ZENTIVA 50 mg, comprimé",ACARBOSE
67813445,"ACARIZAX 12 SQ-HDM, lyophilisat sublingual",EXTRAIT ALLERGÉNIQUE DE DERMATOPHAGOIDES PTERONYSSINUS
67813445,"ACARIZAX 12 SQ-HDM, lyophilisat sublingual",EXTRAIT ALLERGÉNIQUE DE DERMATOPHAGOIDES FARINAE
61823354,"ACCOFIL 12 MU/0,2 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM 
68056062,"ACCOFIL 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM 
60812344,"ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM 
63909873,"ACCOFIL 70 MU/0,73 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM 
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE POTASSIUM
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CALCIUM (CHLORURE DE) DIHYDRATÉ
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE SODIUM
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",GLUCOSE MONOHYDRATÉ
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",BICARBONATE DE SODIUM
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",CHLORURE DE POTASSIUM
